0.05	0	100.101
0.1	0	24.3968
0.15	0	11.1281
0.2	0	6.20835
0.25	0	3.9413
0.3	0	2.67755
0.35	0	1.87496
0.4	0	1.37164
0.45	0	1.01901
0.5	0	0.743399
0.55	0	0.522262
0.6	0	0.340836
0.65	0	0.199818
0.7	0	0.0751285
0.75	0	-0.0196217
0.8	0	-0.101073
0.85	0	-0.165953
0.9	0	-0.217083
0.95	0	-0.236662
1	0	-0.251318
1.05	0	-0.24332
1.1	0	-0.209738
1.15	0	-0.148847
1.2	0	-0.0654918
1.25	0	0.0487059
1.3	0	0.172647
1.35	0	0.365584
1.4	0	0.558566
1.45	0	0.808345
1.45	0.05	0.787333
1.45	0.05	0.825817
1.4	0.05	0.566827
1.35	0.05	0.346085
1.3	0.05	0.180349
1.25	0.05	0.027719
1.2	0.05	-0.0700338
1.15	0.05	-0.151311
1.1	0.05	-0.214139
1.05	0.05	-0.237456
1	0.05	-0.249731
0.95	0.05	-0.242195
0.9	0.05	-0.209703
0.85	0.05	-0.16932
0.8	0.05	-0.102382
0.75	0.05	-0.0264817
0.7	0.05	0.0720766
0.65	0.05	0.18527
0.6	0.05	0.330201
0.55	0.05	0.512278
0.5	0.05	0.725517
0.45	0.05	0.984916
0.4	0.05	1.34844
0.35	0.05	1.87513
0.3	0.05	2.60318
0.25	0.05	3.76788
0.2	0.05	5.8372
0.15	0.05	9.90615
0.1	0.05	19.7101
0.1	0.1	11.5354
0.1	0.1	11.3878
0.15	0.1	7.18145
0.2	0.1	4.86181
0.25	0.1	3.31645
0.3	0.1	2.32893
0.35	0.1	1.75113
0.4	0.1	1.27645
0.45	0.1	0.946473
0.5	0.1	0.685498
0.55	0.1	0.477582
0.6	0.1	0.317894
0.65	0.1	0.178368
0.7	0.1	0.0610592
0.75	0.1	-0.0316692
0.8	0.1	-0.105347
0.85	0.1	-0.169748
0.9	0.1	-0.215108
0.95	0.1	-0.240106
1	0.1	-0.248187
1.05	0.1	-0.241538
1.1	0.1	-0.205239
1.15	0.1	-0.154151
1.2	0.1	-0.0668326
1.25	0.1	0.0389269
1.3	0.1	0.196737
1.35	0.1	0.370695
1.4	0.1	0.58208
1.45	0.1	0.834203
1.45	0.15	0.849985
1.45	0.15	0.827441
1.4	0.15	0.620951
