0 	 1 	 0
1 	 1.41271 	 0.0408409
2 	 1.73434 	 0.0577387
3 	 2.00372 	 0.0707562
4 	 2.24091 	 0.0817286
5 	 2.45349 	 0.0912324
6 	 2.65197 	 0.0999632
7 	 2.83473 	 0.107792
8 	 3.00772 	 0.115537
9 	 3.17 	 0.122489
10 	 3.32283 	 0.128669
11 	 3.46886 	 0.134819
12 	 3.60963 	 0.140598
13 	 3.74432 	 0.146272
14 	 3.87556 	 0.152225
15 	 3.99952 	 0.157797
16 	 4.12043 	 0.162741
17 	 4.24 	 0.167495
18 	 4.35634 	 0.172313
19 	 4.46848 	 0.177299
20 	 4.5789 	 0.182011
21 	 4.68756 	 0.186282
22 	 4.79649 	 0.191186
23 	 4.90108 	 0.195648
24 	 5.00395 	 0.199971
25 	 5.10043 	 0.204265
26 	 5.19673 	 0.207897
27 	 5.29355 	 0.211936
28 	 5.38609 	 0.215689
29 	 5.47972 	 0.219277
30 	 5.5727 	 0.222897
31 	 5.66144 	 0.226645
32 	 5.74892 	 0.230344
33 	 5.83682 	 0.233969
34 	 5.92312 	 0.237341
35 	 6.0067 	 0.240094
36 	 6.09083 	 0.243902
37 	 6.17234 	 0.247238
38 	 6.25433 	 0.250581
39 	 6.33159 	 0.253983
40 	 6.4063 	 0.257028
41 	 6.48188 	 0.260509
42 	 6.55584 	 0.263659
43 	 6.63295 	 0.266742
44 	 6.70776 	 0.2698
45 	 6.78057 	 0.273226
46 	 6.85304 	 0.276023
47 	 6.92493 	 0.278673
48 	 6.99844 	 0.281551
49 	 7.06721 	 0.28453
50 	 7.13765 	 0.287241
51 	 7.20613 	 0.289593
52 	 7.27685 	 0.292343
53 	 7.34514 	 0.29573
54 	 7.4147 	 0.29854
55 	 7.48194 	 0.301097
56 	 7.54935 	 0.303761
57 	 7.61574 	 0.306476
58 	 7.68027 	 0.308817
59 	 7.746 	 0.311364
60 	 7.81077 	 0.313875
61 	 7.87532 	 0.316468
62 	 7.93608 	 0.318995
63 	 7.99602 	 0.321798
64 	 8.06263 	 0.324456
65 	 8.12543 	 0.326931
66 	 8.18598 	 0.329251
67 	 8.24669 	 0.331727
68 	 8.30784 	 0.33416
69 	 8.36839 	 0.336683
70 	 8.4263 	 0.339196
71 	 8.48712 	 0.341831
72 	 8.54498 	 0.344267
73 	 8.60165 	 0.346382
74 	 8.65913 	 0.34852
75 	 8.71806 	 0.351017
76 	 8.77589 	 0.353597
77 	 8.83267 	 0.356024
78 	 8.89263 	 0.358221
79 	 8.95053 	 0.360793
80 	 9.00503 	 0.362706
81 	 9.06291 	 0.36497
82 	 9.11763 	 0.367266
83 	 9.17127 	 0.369076
84 	 9.22499 	 0.3711
85 	 9.2812 	 0.373036
86 	 9.33363 	 0.375167
87 	 9.38669 	 0.37754
88 	 9.43942 	 0.37986
89 	 9.49341 	 0.382403
90 	 9.54846 	 0.384757
91 	 9.59911 	 0.386597
92 	 9.65299 	 0.389234
93 	 9.70537 	 0.391329
94 	 9.75781 	 0.393419
95 	 9.80926 	 0.395861
96 	 9.85815 	 0.397846
97 	 9.90911 	 0.400051
98 	 9.96084 	 0.402056
99 	 10.0092 	 0.404488
